n,time
4,3
8,10
16,49
32,226
64,1026
128,7034
256,37575
512,181389
1024,898647
2048,
n,time
4,3
8,12
16,49
32,231
64,1313
128,7969
256,36643
512,179263
1024,1706561
2048,8999041
4096,76435448
